web-scraper-order,web-scraper-start-url,Name,Status,Fall,Year,Place,Type,Mass,MetBull
"1685536964-85","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Serra de Magé","Official","Y","1923","Pernambuco, Brazil","Eucrite-cm","1800 g",""
"1685536964-86","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Serra Pelada **","Official","Yc","2017","Para, Brazil","Eucrite","12 kg","106"
"1685536964-87","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Sete Lagoas","Official","Y","1908","Minas Gerais, Brazil","H4","350 g",""
"1685536964-88","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Socorro **","Official","","2020","Pernambuco, Brazil","Martian (shergottite)","4.47 kg","110"
"1685536964-89","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Soledade **","Official","","1986","Rio Grande do Sul, Brazil","Iron, IAB-MG","68 kg","66"
"1685536964-90","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Tiros **","Official","Yp","2020","Minas Gerais, Brazil","Eucrite-cm","400 g","109"
"1685536964-91","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Tres Irmaos **","Official","Yc","2017","Bahia, Brazil","L6","890 g","106"
"1685536964-92","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Ubá **","Official","","1960","Minas Gerais, Brazil","H5","84.5 g","110"
"1685536964-93","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Uberaba","Official","Y","1903","Minas Gerais, Brazil","H5","40 kg",""
"1685536964-94","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Uruaçu **","Official","","1992","Goias, Brazil","Iron, IAB-MG","72.5 kg","86"
"1685536964-95","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Vargeão Dome **","Crater","","<70 Ma","Santa Catarina, Brazil","Impact Crater","",""
"1685536964-96","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Varre-Sai **","Official","Y","2010","Rio de Janeiro, Brazil","L5","2.5 kg","99"
"1685536964-97","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Verissimo","Official","","1965","Minas Gerais, Brazil","Iron, IIIAB","14 kg",""
"1685536964-98","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Vicência **","Official","Y","2013","Pernambuco, Brazil","LL3.2","1540 g","103"
"1685536964-99","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Vista Alegre **","Crater","","<65 Ma","Parana, Brazil","Impact Crater","",""
"1685536964-100","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Vitoria da Conquista","Official","","2007","Bahia, Brazil","Iron, IVA","10.5 kg","96"
